assessment_name,assessment_url,job_roles,skills,level,category,duration,test_type,remote_testing_support,adaptive_irt_support,description
Communication Behavioral Assessment,https://www.shl.com/test/1,Sales Manager,Communication|Problem Solving|Python,Entry,Technical,20 mins,Knowledge,Yes,No,"This test measures Communication, Problem Solving, Python for Sales Manager roles."
Python Knowledge Assessment,https://www.shl.com/test/2,Data Analyst,Cognitive Ability|Python,Entry,Behavioral,60 mins,Knowledge,Yes,Yes,"This test measures Cognitive Ability, Python for Data Analyst roles."
Numerical Reasoning Cognitive Assessment,https://www.shl.com/test/3,Software Engineer|Product Manager|Sales Manager,Numerical Reasoning|Cognitive Ability|Python|Leadership,Senior,Behavioral,60 mins,Personality,Yes,Yes,"This test measures Numerical Reasoning, Cognitive Ability, Python, Leadership for Software Engineer, Product Manager, Sales Manager roles."
SQL Cognitive Assessment,https://www.shl.com/test/4,Data Analyst,Problem Solving|Leadership|SQL|Communication,All,Technical,60 mins,Behavioral,Yes,No,"This test measures Problem Solving, Leadership, SQL, Communication for Data Analyst roles."
Cognitive Ability Cognitive Assessment,https://www.shl.com/test/5,Consultant|HR Specialist|Data Analyst,Cognitive Ability|SQL|Leadership|Excel,Mid,Cognitive,60 mins,Knowledge,No,Yes,"This test measures Cognitive Ability, SQL, Leadership, Excel for Consultant, HR Specialist, Data Analyst roles."
Excel Behavioral Assessment,https://www.shl.com/test/6,Software Engineer|Product Manager|Sales Manager,Leadership|Excel,All,Technical,30 mins,Knowledge,No,No,"This test measures Leadership, Excel for Software Engineer, Product Manager, Sales Manager roles."
Excel Personality Assessment,https://www.shl.com/test/7,Consultant,Communication|SQL|Excel|Numerical Reasoning,Senior,Personality,30 mins,Personality,Yes,No,"This test measures Communication, SQL, Excel, Numerical Reasoning for Consultant roles."
Excel Personality Assessment,https://www.shl.com/test/8,Product Manager|Data Analyst,SQL|Python|Excel|Problem Solving,Mid,Behavioral,45 mins,Personality,Yes,Yes,"This test measures SQL, Python, Excel, Problem Solving for Product Manager, Data Analyst roles."
Cognitive Ability Knowledge Assessment,https://www.shl.com/test/9,HR Specialist|Data Analyst,Leadership|Excel|Cognitive Ability,All,Behavioral,30 mins,Knowledge,Yes,Yes,"This test measures Leadership, Excel, Cognitive Ability for HR Specialist, Data Analyst roles."
Cognitive Ability Behavioral Assessment,https://www.shl.com/test/10,Software Engineer,Communication|Cognitive Ability,All,Technical,60 mins,Behavioral,No,No,"This test measures Communication, Cognitive Ability for Software Engineer roles."
Verbal Reasoning Behavioral Assessment,https://www.shl.com/test/11,Software Engineer,Verbal Reasoning|Leadership|SQL,Senior,Personality,60 mins,Behavioral,No,No,"This test measures Verbal Reasoning, Leadership, SQL for Software Engineer roles."
Cognitive Ability Personality Assessment,https://www.shl.com/test/12,Data Analyst,Cognitive Ability|Python|Numerical Reasoning,Senior,Technical,45 mins,Behavioral,Yes,No,"This test measures Cognitive Ability, Python, Numerical Reasoning for Data Analyst roles."
Verbal Reasoning Personality Assessment,https://www.shl.com/test/13,Data Analyst|Sales Manager,Verbal Reasoning|Python|Cognitive Ability,Mid,Personality,45 mins,Behavioral,No,No,"This test measures Verbal Reasoning, Python, Cognitive Ability for Data Analyst, Sales Manager roles."
Cognitive Ability Knowledge Assessment,https://www.shl.com/test/14,Sales Manager|HR Specialist|Data Analyst,Cognitive Ability|Numerical Reasoning|Problem Solving,Entry,Technical,60 mins,Behavioral,No,Yes,"This test measures Cognitive Ability, Numerical Reasoning, Problem Solving for Sales Manager, HR Specialist, Data Analyst roles."
Excel Personality Assessment,https://www.shl.com/test/15,Consultant,Cognitive Ability|Python|Excel,Senior,Behavioral,60 mins,Behavioral,No,Yes,"This test measures Cognitive Ability, Python, Excel for Consultant roles."
Leadership Personality Assessment,https://www.shl.com/test/16,Software Engineer|Sales Manager,Python|Leadership,Entry,Cognitive,60 mins,Behavioral,No,No,"This test measures Python, Leadership for Software Engineer, Sales Manager roles."
Cognitive Ability Cognitive Assessment,https://www.shl.com/test/17,Data Analyst|Sales Manager|Consultant,Cognitive Ability|Verbal Reasoning|Python,Senior,Personality,20 mins,Personality,No,No,"This test measures Cognitive Ability, Verbal Reasoning, Python for Data Analyst, Sales Manager, Consultant roles."
Leadership Behavioral Assessment,https://www.shl.com/test/18,Data Analyst,Numerical Reasoning|Leadership,All,Personality,60 mins,Behavioral,No,No,"This test measures Numerical Reasoning, Leadership for Data Analyst roles."
SQL Personality Assessment,https://www.shl.com/test/19,Product Manager,SQL|Cognitive Ability|Verbal Reasoning|Numerical Reasoning,Senior,Personality,30 mins,Personality,No,No,"This test measures SQL, Cognitive Ability, Verbal Reasoning, Numerical Reasoning for Product Manager roles."
Excel Personality Assessment,https://www.shl.com/test/20,HR Specialist|Sales Manager|Product Manager,Communication|Excel,Entry,Personality,30 mins,Knowledge,No,Yes,"This test measures Communication, Excel for HR Specialist, Sales Manager, Product Manager roles."
Leadership Cognitive Assessment,https://www.shl.com/test/21,Product Manager|Sales Manager,Leadership|Numerical Reasoning,Senior,Behavioral,45 mins,Cognitive,Yes,Yes,"This test measures Leadership, Numerical Reasoning for Product Manager, Sales Manager roles."
Problem Solving Behavioral Assessment,https://www.shl.com/test/22,HR Specialist|Software Engineer,Problem Solving|Excel|Leadership,Entry,Cognitive,20 mins,Personality,Yes,No,"This test measures Problem Solving, Excel, Leadership for HR Specialist, Software Engineer roles."
Communication Personality Assessment,https://www.shl.com/test/23,Product Manager|Software Engineer|Data Analyst,Numerical Reasoning|Communication|Verbal Reasoning|Problem Solving,Mid,Behavioral,60 mins,Personality,No,Yes,"This test measures Numerical Reasoning, Communication, Verbal Reasoning, Problem Solving for Product Manager, Software Engineer, Data Analyst roles."
Problem Solving Personality Assessment,https://www.shl.com/test/24,HR Specialist|Data Analyst,Problem Solving|Leadership,Entry,Personality,45 mins,Knowledge,Yes,Yes,"This test measures Problem Solving, Leadership for HR Specialist, Data Analyst roles."
Numerical Reasoning Personality Assessment,https://www.shl.com/test/25,Data Analyst,Leadership|Numerical Reasoning,Mid,Cognitive,45 mins,Personality,Yes,Yes,"This test measures Leadership, Numerical Reasoning for Data Analyst roles."
Leadership Personality Assessment,https://www.shl.com/test/26,Data Analyst|Software Engineer,Communication|Verbal Reasoning|Python|Leadership,All,Cognitive,45 mins,Personality,No,No,"This test measures Communication, Verbal Reasoning, Python, Leadership for Data Analyst, Software Engineer roles."
Communication Cognitive Assessment,https://www.shl.com/test/27,Data Analyst|HR Specialist|Consultant,Leadership|Communication|Python,Entry,Cognitive,30 mins,Cognitive,No,Yes,"This test measures Leadership, Communication, Python for Data Analyst, HR Specialist, Consultant roles."
Problem Solving Personality Assessment,https://www.shl.com/test/28,HR Specialist,Excel|Problem Solving|Verbal Reasoning,Entry,Technical,45 mins,Cognitive,Yes,No,"This test measures Excel, Problem Solving, Verbal Reasoning for HR Specialist roles."
Communication Cognitive Assessment,https://www.shl.com/test/29,Consultant|Product Manager|Data Analyst,Leadership|Communication|Numerical Reasoning,Senior,Technical,20 mins,Personality,Yes,Yes,"This test measures Leadership, Communication, Numerical Reasoning for Consultant, Product Manager, Data Analyst roles."
Problem Solving Personality Assessment,https://www.shl.com/test/30,Sales Manager|Product Manager|Data Analyst,Excel|SQL|Problem Solving,Mid,Technical,30 mins,Cognitive,Yes,No,"This test measures Excel, SQL, Problem Solving for Sales Manager, Product Manager, Data Analyst roles."
Problem Solving Cognitive Assessment,https://www.shl.com/test/31,HR Specialist|Sales Manager,Leadership|Problem Solving|Excel|Communication,All,Behavioral,60 mins,Personality,Yes,No,"This test measures Leadership, Problem Solving, Excel, Communication for HR Specialist, Sales Manager roles."
SQL Knowledge Assessment,https://www.shl.com/test/32,Software Engineer|Data Analyst,Numerical Reasoning|Verbal Reasoning|SQL,Mid,Technical,20 mins,Cognitive,Yes,Yes,"This test measures Numerical Reasoning, Verbal Reasoning, SQL for Software Engineer, Data Analyst roles."
Communication Behavioral Assessment,https://www.shl.com/test/33,Consultant|Product Manager,Python|Problem Solving|Communication,Entry,Technical,45 mins,Personality,Yes,Yes,"This test measures Python, Problem Solving, Communication for Consultant, Product Manager roles."
SQL Behavioral Assessment,https://www.shl.com/test/34,Data Analyst|Software Engineer,Communication|SQL,Entry,Cognitive,20 mins,Personality,No,Yes,"This test measures Communication, SQL for Data Analyst, Software Engineer roles."
Problem Solving Personality Assessment,https://www.shl.com/test/35,Software Engineer,Problem Solving|Cognitive Ability|SQL|Verbal Reasoning,Entry,Behavioral,30 mins,Behavioral,Yes,Yes,"This test measures Problem Solving, Cognitive Ability, SQL, Verbal Reasoning for Software Engineer roles."
Cognitive Ability Knowledge Assessment,https://www.shl.com/test/36,Software Engineer|HR Specialist,Communication|Leadership|SQL|Cognitive Ability,Senior,Cognitive,60 mins,Behavioral,Yes,No,"This test measures Communication, Leadership, SQL, Cognitive Ability for Software Engineer, HR Specialist roles."
Leadership Personality Assessment,https://www.shl.com/test/37,Data Analyst|Software Engineer,Leadership|Problem Solving|SQL,Senior,Technical,30 mins,Personality,Yes,Yes,"This test measures Leadership, Problem Solving, SQL for Data Analyst, Software Engineer roles."
Numerical Reasoning Knowledge Assessment,https://www.shl.com/test/38,HR Specialist,Numerical Reasoning|Problem Solving|Excel|Communication,Entry,Technical,60 mins,Knowledge,No,Yes,"This test measures Numerical Reasoning, Problem Solving, Excel, Communication for HR Specialist roles."
Python Knowledge Assessment,https://www.shl.com/test/39,HR Specialist|Product Manager,Problem Solving|Excel|Python|SQL,Entry,Cognitive,30 mins,Cognitive,Yes,No,"This test measures Problem Solving, Excel, Python, SQL for HR Specialist, Product Manager roles."
Excel Cognitive Assessment,https://www.shl.com/test/40,Consultant|HR Specialist|Data Analyst,Problem Solving|Excel|Verbal Reasoning|Cognitive Ability,Entry,Technical,60 mins,Personality,Yes,Yes,"This test measures Problem Solving, Excel, Verbal Reasoning, Cognitive Ability for Consultant, HR Specialist, Data Analyst roles."
Problem Solving Cognitive Assessment,https://www.shl.com/test/41,Consultant|Software Engineer|Product Manager,Problem Solving|Excel,Senior,Technical,30 mins,Behavioral,Yes,Yes,"This test measures Problem Solving, Excel for Consultant, Software Engineer, Product Manager roles."
Leadership Behavioral Assessment,https://www.shl.com/test/42,HR Specialist,Leadership|Python,Entry,Behavioral,60 mins,Personality,No,No,"This test measures Leadership, Python for HR Specialist roles."
SQL Personality Assessment,https://www.shl.com/test/43,Product Manager|Software Engineer|Consultant,Cognitive Ability|Communication|SQL|Numerical Reasoning,Entry,Personality,20 mins,Knowledge,No,No,"This test measures Cognitive Ability, Communication, SQL, Numerical Reasoning for Product Manager, Software Engineer, Consultant roles."
Leadership Personality Assessment,https://www.shl.com/test/44,Sales Manager|Data Analyst,SQL|Leadership,All,Technical,30 mins,Personality,Yes,Yes,"This test measures SQL, Leadership for Sales Manager, Data Analyst roles."
Problem Solving Behavioral Assessment,https://www.shl.com/test/45,HR Specialist|Data Analyst,Numerical Reasoning|Problem Solving|Leadership|Communication,Senior,Cognitive,45 mins,Personality,No,No,"This test measures Numerical Reasoning, Problem Solving, Leadership, Communication for HR Specialist, Data Analyst roles."
Communication Cognitive Assessment,https://www.shl.com/test/46,Sales Manager|Consultant|HR Specialist,Python|Communication|Excel|Numerical Reasoning,Senior,Personality,30 mins,Behavioral,Yes,No,"This test measures Python, Communication, Excel, Numerical Reasoning for Sales Manager, Consultant, HR Specialist roles."
Excel Behavioral Assessment,https://www.shl.com/test/47,Product Manager|HR Specialist|Sales Manager,Python|Excel,Mid,Cognitive,60 mins,Knowledge,No,No,"This test measures Python, Excel for Product Manager, HR Specialist, Sales Manager roles."
Verbal Reasoning Personality Assessment,https://www.shl.com/test/48,HR Specialist|Data Analyst,SQL|Numerical Reasoning|Verbal Reasoning|Cognitive Ability,Senior,Personality,60 mins,Knowledge,No,No,"This test measures SQL, Numerical Reasoning, Verbal Reasoning, Cognitive Ability for HR Specialist, Data Analyst roles."
Cognitive Ability Behavioral Assessment,https://www.shl.com/test/49,HR Specialist|Consultant,Cognitive Ability|Numerical Reasoning,Mid,Personality,60 mins,Personality,Yes,Yes,"This test measures Cognitive Ability, Numerical Reasoning for HR Specialist, Consultant roles."
Cognitive Ability Personality Assessment,https://www.shl.com/test/50,Software Engineer|Consultant|Product Manager,Cognitive Ability|Excel|Python,All,Cognitive,60 mins,Cognitive,No,No,"This test measures Cognitive Ability, Excel, Python for Software Engineer, Consultant, Product Manager roles."
Verbal Reasoning Cognitive Assessment,https://www.shl.com/test/51,Product Manager|HR Specialist,Verbal Reasoning|Python|Numerical Reasoning,Entry,Technical,30 mins,Personality,No,No,"This test measures Verbal Reasoning, Python, Numerical Reasoning for Product Manager, HR Specialist roles."
Excel Cognitive Assessment,https://www.shl.com/test/52,Software Engineer,Cognitive Ability|Excel,Entry,Behavioral,30 mins,Knowledge,No,No,"This test measures Cognitive Ability, Excel for Software Engineer roles."
Problem Solving Personality Assessment,https://www.shl.com/test/53,Sales Manager|HR Specialist,Cognitive Ability|Verbal Reasoning|Problem Solving,Entry,Technical,30 mins,Behavioral,No,Yes,"This test measures Cognitive Ability, Verbal Reasoning, Problem Solving for Sales Manager, HR Specialist roles."
Cognitive Ability Knowledge Assessment,https://www.shl.com/test/54,HR Specialist|Consultant|Software Engineer,Problem Solving|Communication|Cognitive Ability,Senior,Personality,60 mins,Behavioral,No,Yes,"This test measures Problem Solving, Communication, Cognitive Ability for HR Specialist, Consultant, Software Engineer roles."
Communication Cognitive Assessment,https://www.shl.com/test/55,HR Specialist|Software Engineer,Communication|Python,Entry,Behavioral,30 mins,Behavioral,Yes,No,"This test measures Communication, Python for HR Specialist, Software Engineer roles."
Excel Cognitive Assessment,https://www.shl.com/test/56,Product Manager|Data Analyst|HR Specialist,Numerical Reasoning|Excel|Problem Solving,Mid,Personality,45 mins,Knowledge,Yes,Yes,"This test measures Numerical Reasoning, Excel, Problem Solving for Product Manager, Data Analyst, HR Specialist roles."
Numerical Reasoning Personality Assessment,https://www.shl.com/test/57,Product Manager,Numerical Reasoning|Excel|SQL|Problem Solving,Entry,Personality,60 mins,Knowledge,Yes,Yes,"This test measures Numerical Reasoning, Excel, SQL, Problem Solving for Product Manager roles."
Python Knowledge Assessment,https://www.shl.com/test/58,HR Specialist|Product Manager|Sales Manager,Numerical Reasoning|Python,Entry,Behavioral,60 mins,Behavioral,Yes,Yes,"This test measures Numerical Reasoning, Python for HR Specialist, Product Manager, Sales Manager roles."
Excel Cognitive Assessment,https://www.shl.com/test/59,Software Engineer|HR Specialist,Excel|Python,Entry,Behavioral,60 mins,Behavioral,Yes,Yes,"This test measures Excel, Python for Software Engineer, HR Specialist roles."
Numerical Reasoning Cognitive Assessment,https://www.shl.com/test/60,Consultant|Sales Manager|Software Engineer,Numerical Reasoning|Excel|Leadership,Entry,Personality,30 mins,Behavioral,Yes,Yes,"This test measures Numerical Reasoning, Excel, Leadership for Consultant, Sales Manager, Software Engineer roles."
Cognitive Ability Behavioral Assessment,https://www.shl.com/test/61,Consultant|Sales Manager|Product Manager,Cognitive Ability|Python|Excel,Senior,Cognitive,20 mins,Knowledge,Yes,No,"This test measures Cognitive Ability, Python, Excel for Consultant, Sales Manager, Product Manager roles."
Verbal Reasoning Knowledge Assessment,https://www.shl.com/test/62,Sales Manager|Consultant|Software Engineer,Verbal Reasoning|Excel|Leadership|Problem Solving,Entry,Cognitive,20 mins,Cognitive,No,Yes,"This test measures Verbal Reasoning, Excel, Leadership, Problem Solving for Sales Manager, Consultant, Software Engineer roles."
Leadership Behavioral Assessment,https://www.shl.com/test/63,Sales Manager|Data Analyst,Cognitive Ability|Python|Excel|Leadership,All,Personality,30 mins,Personality,No,No,"This test measures Cognitive Ability, Python, Excel, Leadership for Sales Manager, Data Analyst roles."
Verbal Reasoning Cognitive Assessment,https://www.shl.com/test/64,Sales Manager|Software Engineer,SQL|Python|Verbal Reasoning|Numerical Reasoning,All,Technical,60 mins,Behavioral,No,Yes,"This test measures SQL, Python, Verbal Reasoning, Numerical Reasoning for Sales Manager, Software Engineer roles."
Numerical Reasoning Knowledge Assessment,https://www.shl.com/test/65,HR Specialist|Data Analyst,Numerical Reasoning|Verbal Reasoning|Leadership,All,Personality,45 mins,Cognitive,No,No,"This test measures Numerical Reasoning, Verbal Reasoning, Leadership for HR Specialist, Data Analyst roles."
Cognitive Ability Behavioral Assessment,https://www.shl.com/test/66,HR Specialist|Consultant,Leadership|Numerical Reasoning|Cognitive Ability|SQL,Senior,Cognitive,20 mins,Knowledge,Yes,No,"This test measures Leadership, Numerical Reasoning, Cognitive Ability, SQL for HR Specialist, Consultant roles."
Cognitive Ability Cognitive Assessment,https://www.shl.com/test/67,Software Engineer,Excel|Cognitive Ability|Problem Solving,All,Cognitive,45 mins,Cognitive,Yes,No,"This test measures Excel, Cognitive Ability, Problem Solving for Software Engineer roles."
Leadership Personality Assessment,https://www.shl.com/test/68,HR Specialist|Product Manager,Leadership|Problem Solving,Senior,Behavioral,60 mins,Knowledge,No,Yes,"This test measures Leadership, Problem Solving for HR Specialist, Product Manager roles."
Numerical Reasoning Cognitive Assessment,https://www.shl.com/test/69,Software Engineer,Verbal Reasoning|Numerical Reasoning|Python|Cognitive Ability,Mid,Personality,45 mins,Cognitive,No,Yes,"This test measures Verbal Reasoning, Numerical Reasoning, Python, Cognitive Ability for Software Engineer roles."
Problem Solving Cognitive Assessment,https://www.shl.com/test/70,Product Manager,Problem Solving|Cognitive Ability|Verbal Reasoning,Entry,Personality,20 mins,Behavioral,No,No,"This test measures Problem Solving, Cognitive Ability, Verbal Reasoning for Product Manager roles."
SQL Personality Assessment,https://www.shl.com/test/71,Consultant,Cognitive Ability|Excel|SQL,All,Behavioral,30 mins,Cognitive,Yes,No,"This test measures Cognitive Ability, Excel, SQL for Consultant roles."
SQL Cognitive Assessment,https://www.shl.com/test/72,Sales Manager|Consultant|HR Specialist,Numerical Reasoning|Python|SQL|Excel,Mid,Behavioral,20 mins,Behavioral,No,Yes,"This test measures Numerical Reasoning, Python, SQL, Excel for Sales Manager, Consultant, HR Specialist roles."
Verbal Reasoning Cognitive Assessment,https://www.shl.com/test/73,HR Specialist|Data Analyst,Problem Solving|Verbal Reasoning,Entry,Personality,20 mins,Cognitive,Yes,No,"This test measures Problem Solving, Verbal Reasoning for HR Specialist, Data Analyst roles."
Problem Solving Cognitive Assessment,https://www.shl.com/test/74,Software Engineer|Sales Manager,Communication|Problem Solving,All,Cognitive,60 mins,Personality,Yes,Yes,"This test measures Communication, Problem Solving for Software Engineer, Sales Manager roles."
Problem Solving Personality Assessment,https://www.shl.com/test/75,Consultant|Software Engineer|Sales Manager,Leadership|Problem Solving,Mid,Personality,60 mins,Personality,No,Yes,"This test measures Leadership, Problem Solving for Consultant, Software Engineer, Sales Manager roles."
Numerical Reasoning Cognitive Assessment,https://www.shl.com/test/76,Data Analyst|Sales Manager,Problem Solving|SQL|Python|Numerical Reasoning,Mid,Cognitive,30 mins,Knowledge,Yes,Yes,"This test measures Problem Solving, SQL, Python, Numerical Reasoning for Data Analyst, Sales Manager roles."
Excel Behavioral Assessment,https://www.shl.com/test/77,Consultant|Software Engineer|HR Specialist,SQL|Problem Solving|Excel|Cognitive Ability,Entry,Technical,60 mins,Knowledge,No,Yes,"This test measures SQL, Problem Solving, Excel, Cognitive Ability for Consultant, Software Engineer, HR Specialist roles."
SQL Cognitive Assessment,https://www.shl.com/test/78,Data Analyst|HR Specialist|Product Manager,Python|SQL|Verbal Reasoning|Cognitive Ability,All,Cognitive,30 mins,Personality,No,No,"This test measures Python, SQL, Verbal Reasoning, Cognitive Ability for Data Analyst, HR Specialist, Product Manager roles."
Leadership Personality Assessment,https://www.shl.com/test/79,HR Specialist|Data Analyst,Leadership|Cognitive Ability|Problem Solving,Entry,Cognitive,20 mins,Behavioral,Yes,No,"This test measures Leadership, Cognitive Ability, Problem Solving for HR Specialist, Data Analyst roles."
Leadership Knowledge Assessment,https://www.shl.com/test/80,HR Specialist,Python|Numerical Reasoning|Leadership,Entry,Personality,30 mins,Knowledge,Yes,No,"This test measures Python, Numerical Reasoning, Leadership for HR Specialist roles."
Numerical Reasoning Personality Assessment,https://www.shl.com/test/81,Software Engineer|Data Analyst,Numerical Reasoning|Excel|Communication,Senior,Cognitive,20 mins,Knowledge,Yes,No,"This test measures Numerical Reasoning, Excel, Communication for Software Engineer, Data Analyst roles."
Verbal Reasoning Behavioral Assessment,https://www.shl.com/test/82,Software Engineer|Product Manager|Data Analyst,Communication|Verbal Reasoning|Problem Solving|Cognitive Ability,Senior,Cognitive,30 mins,Personality,No,No,"This test measures Communication, Verbal Reasoning, Problem Solving, Cognitive Ability for Software Engineer, Product Manager, Data Analyst roles."
Excel Personality Assessment,https://www.shl.com/test/83,Software Engineer|Product Manager|Consultant,Leadership|SQL|Excel|Problem Solving,All,Cognitive,60 mins,Personality,Yes,Yes,"This test measures Leadership, SQL, Excel, Problem Solving for Software Engineer, Product Manager, Consultant roles."
Communication Personality Assessment,https://www.shl.com/test/84,HR Specialist|Consultant,Cognitive Ability|Communication,All,Behavioral,60 mins,Personality,No,No,"This test measures Cognitive Ability, Communication for HR Specialist, Consultant roles."
Numerical Reasoning Personality Assessment,https://www.shl.com/test/85,Product Manager,Communication|Numerical Reasoning|Problem Solving,Entry,Cognitive,60 mins,Cognitive,Yes,Yes,"This test measures Communication, Numerical Reasoning, Problem Solving for Product Manager roles."
Numerical Reasoning Behavioral Assessment,https://www.shl.com/test/86,Data Analyst|Consultant|HR Specialist,Numerical Reasoning|SQL,Entry,Personality,60 mins,Personality,Yes,No,"This test measures Numerical Reasoning, SQL for Data Analyst, Consultant, HR Specialist roles."
Excel Cognitive Assessment,https://www.shl.com/test/87,Data Analyst,Numerical Reasoning|Excel,Entry,Behavioral,30 mins,Personality,No,No,"This test measures Numerical Reasoning, Excel for Data Analyst roles."
Excel Knowledge Assessment,https://www.shl.com/test/88,Data Analyst|Consultant|HR Specialist,Excel|Leadership,Mid,Technical,45 mins,Personality,Yes,Yes,"This test measures Excel, Leadership for Data Analyst, Consultant, HR Specialist roles."
Verbal Reasoning Personality Assessment,https://www.shl.com/test/89,Consultant|Software Engineer|HR Specialist,Communication|Verbal Reasoning,Entry,Personality,45 mins,Behavioral,No,Yes,"This test measures Communication, Verbal Reasoning for Consultant, Software Engineer, HR Specialist roles."
SQL Behavioral Assessment,https://www.shl.com/test/90,Product Manager,Leadership|Communication|SQL,Entry,Behavioral,30 mins,Knowledge,Yes,Yes,"This test measures Leadership, Communication, SQL for Product Manager roles."
Verbal Reasoning Cognitive Assessment,https://www.shl.com/test/91,Sales Manager|Software Engineer|Data Analyst,Leadership|Python|Verbal Reasoning,Entry,Cognitive,30 mins,Personality,No,No,"This test measures Leadership, Python, Verbal Reasoning for Sales Manager, Software Engineer, Data Analyst roles."
Leadership Behavioral Assessment,https://www.shl.com/test/92,Software Engineer,Numerical Reasoning|Leadership,All,Technical,20 mins,Behavioral,No,Yes,"This test measures Numerical Reasoning, Leadership for Software Engineer roles."
SQL Knowledge Assessment,https://www.shl.com/test/93,Sales Manager,Leadership|Excel|Python|SQL,Entry,Cognitive,45 mins,Behavioral,No,Yes,"This test measures Leadership, Excel, Python, SQL for Sales Manager roles."
Cognitive Ability Behavioral Assessment,https://www.shl.com/test/94,Software Engineer|Sales Manager|HR Specialist,Excel|Cognitive Ability|Numerical Reasoning,All,Technical,30 mins,Knowledge,No,No,"This test measures Excel, Cognitive Ability, Numerical Reasoning for Software Engineer, Sales Manager, HR Specialist roles."
Cognitive Ability Behavioral Assessment,https://www.shl.com/test/95,HR Specialist,Cognitive Ability|Python,All,Cognitive,60 mins,Cognitive,Yes,No,"This test measures Cognitive Ability, Python for HR Specialist roles."
Python Personality Assessment,https://www.shl.com/test/96,Product Manager,Python|Cognitive Ability,Entry,Personality,45 mins,Cognitive,No,No,"This test measures Python, Cognitive Ability for Product Manager roles."
Numerical Reasoning Knowledge Assessment,https://www.shl.com/test/97,Sales Manager|Software Engineer,Numerical Reasoning|Communication|Verbal Reasoning|Leadership,All,Personality,60 mins,Personality,No,No,"This test measures Numerical Reasoning, Communication, Verbal Reasoning, Leadership for Sales Manager, Software Engineer roles."
SQL Behavioral Assessment,https://www.shl.com/test/98,HR Specialist,Numerical Reasoning|Problem Solving|SQL,Senior,Personality,45 mins,Behavioral,No,No,"This test measures Numerical Reasoning, Problem Solving, SQL for HR Specialist roles."
Excel Behavioral Assessment,https://www.shl.com/test/99,Data Analyst,Communication|Excel,Entry,Cognitive,20 mins,Cognitive,Yes,Yes,"This test measures Communication, Excel for Data Analyst roles."
Communication Knowledge Assessment,https://www.shl.com/test/100,Sales Manager|Data Analyst|Consultant,Communication|Leadership,All,Cognitive,45 mins,Knowledge,Yes,No,"This test measures Communication, Leadership for Sales Manager, Data Analyst, Consultant roles."
